SEQN,RIDAGEMN,RIDRETH1,DMDEDUC2,DMDMARTL
42325,161,4,NA,NA
42326,78,1,NA,NA
42327,8,4,NA,NA
42328,426,3,2,1
42329,NA,3,3,2
42330,NA,3,2,2
42331,377,1,4,1
42332,733,4,4,1
42333,383,3,4,1
42334,78,4,NA,NA
42335,346,3,3,1
42336,27,1,NA,NA
42337,154,1,NA,NA
42338,768,4,4,1
42339,104,5,NA,NA
42340,726,1,1,4
42341,134,2,NA,NA
42342,NA,3,4,1
42343,1,1,NA,NA
42344,241,3,3,5
42345,431,4,5,3
42346,658,3,3,5
42347,75,4,NA,NA
42348,276,4,5,5
42349,232,5,NA,NA
42350,571,3,4,4
42351,508,3,5,1
42352,729,1,2,1
42353,5,3,NA,NA
42354,28,3,NA,NA
42355,11,1,NA,NA
42356,430,4,4,1
42357,305,3,4,1
42358,773,1,1,1
42359,168,3,NA,NA
42360,112,4,NA,NA
42361,457,3,4,3
42362,203,3,NA,NA
42363,210,4,NA,NA
42364,926,1,1,1
42365,696,3,4,1
42366,572,3,5,1
42367,19,1,NA,NA
42368,728,2,1,1
42369,NA,4,1,2
42370,232,3,NA,NA
42371,124,4,NA,NA
42372,751,4,3,1
42373,307,1,4,3
42374,138,5,NA,NA
42375,262,3,3,5
42376,260,5,3,5
42377,438,3,3,1
42378,944,2,1,2
42379,755,2,4,1
42380,38,4,NA,NA
42381,298,3,2,5
42382,559,3,3,1
42383,278,3,5,5
42384,286,3,4,5
42385,62,3,NA,NA
42386,148,4,NA,NA
42387,405,3,3,5
42388,84,2,NA,NA
42389,768,3,3,1
42390,12,2,NA,NA
42391,305,4,3,5
42392,785,4,2,3
42393,455,3,3,1
42394,NA,3,3,2
42395,310,4,4,5
42396,681,2,3,3
42397,21,4,NA,NA
42398,130,4,NA,NA
42399,657,5,1,1
42400,476,3,3,1
42401,88,5,NA,NA
42402,739,1,4,1
42403,140,4,NA,NA
42404,949,3,3,1
42405,854,3,3,1
42406,748,4,3,1
42407,753,4,2,2
42408,61,1,NA,NA
42409,176,3,NA,NA
42410,142,1,NA,NA
42411,344,2,3,5
42412,66,4,NA,NA
42413,374,4,5,1
42414,82,1,NA,NA
42415,447,3,3,1
42416,751,4,4,3
42417,112,1,NA,NA
42418,143,2,NA,NA
42419,4,2,NA,NA
42420,695,3,3,1
42421,671,1,3,1
